Court_State,Court_District,Case_Type,Count,Mapping,As_Of_Date
Andhra Pradesh,East Godavari,A.R.B.O.P,314,Civil,27-01-2023
Andhra Pradesh,East Godavari,A.T.C.,682,Civil,02-09-2023
Andhra Pradesh,East Godavari,ARBEP,1439,Civil,05-04-2023
Andhra Pradesh,East Godavari,AS,7235,Civil,06-11-2022
Andhra Pradesh,East Godavari,ATA,299,Civil,25-03-2022
Andhra Pradesh,East Godavari,CA,13,Civil,26-03-2023
Andhra Pradesh,East Godavari,CC,88180,Criminal,30-05-2023
Andhra Pradesh,East Godavari,CC.APT,8,Other,14-02-2023
Andhra Pradesh,East Godavari,CC.LG,1,Other,30-04-2023
Andhra Pradesh,East Godavari,CMA,1064,Civil,19-10-2022
Andhra Pradesh,East Godavari,COS,12,Civil,14-06-2023
Andhra Pradesh,East Godavari,CRIME NO,291,Criminal,15-04-2022
Andhra Pradesh,East Godavari,CRL MP,69,Criminal,17-07-2023
Andhra Pradesh,East Godavari,CRL.MP,1066,Criminal,02-05-2023
Andhra Pradesh,East Godavari,CRLA,5389,Criminal,11-12-2021
Andhra Pradesh,East Godavari,CRLA.MU,5,Criminal,07-09-2023
Andhra Pradesh,East Godavari,CRLMP BAIL,1,Criminal,16-03-2022
Andhra Pradesh,East Godavari,CRLMP.BAIL,10521,Criminal,15-10-2022
Andhra Pradesh,East Godavari,CRLRP,1677,Criminal,09-06-2023
Andhra Pradesh,East Godavari,CRLRP.MU,1,Criminal,31-05-2023
Andhra Pradesh,East Godavari,DVC,1544,Criminal,16-07-2022
Andhra Pradesh,East Godavari,E.M.C,328,Civil,14-03-2022
Andhra Pradesh,East Godavari,E.S.I.,4,Civil,06-03-2023
Andhra Pradesh,East Godavari,EAS,115,Civil,18-04-2022
Andhra Pradesh,East Godavari,ELECOP,75,Civil,09-10-2022
Andhra Pradesh,East Godavari,EP,28646,Civil,21-02-2022
Andhra Pradesh,East Godavari,F.C.O.P,1437,Civil,04-12-2021
